Locations ,Actual Temperature ,Feels Like Temperature ,Humidity? - %,Visibility (miles),Pressure ,ambient estimation using visibility (lux),,,ambient light coeeficient estimation 
Delhi ,35,35,96,1,29.63,5000,,,
Savannah ,46,45,71,19,29.96,21794.49472,,,
Greenville ,40,39,70,19,29.87,21794.49472,,,
Des Moines ,72,68,85,16,29.88,20000,,,
Cave Creek ,47,41,30,28,30.16,26457.51311,,,
Chikaming ,33,16,88,6,29.67,12247.44871,,,
Miami,72,68,85,16,29.88,20000,,,
Topeka ,31,17,70,19,30.24,21794.49472,,,
Seattle ,41,42,90,15,29.89,19364.91673,,,
Irvine ,46,45,67,16,30.15,20000,,,
New York ,49,43,90,4,29.45,10000,,,
Delhi ,38,36,94,2,29.53,7071.067812,,,
Savannah ,61,57,42,24,29.84,24494.89743,,,
Greenville ,52,44,44,27,29.77,25980.76211,,,
Des Moines ,40,29,66,15,30.11,19364.91673,,,
Cave Creek ,77,77,12,28,30.09,26457.51311,,,
Chikaming ,36,21,94,1,29.59,5000,,,
Miami,80,80,52,22,29.84,23452.0788,,,
Topeka ,45,38,55,19,30.23,21794.49472,,,
Seattle ,48,49,76,12,29.9,17320.50808,,,
Irvine ,72,76,29,26,30.12,25495.09757,,,
New York ,48,45,90,6,29.45,12247.44871,,,
Delhi ,36,36,95,1,29.53,5000,,,
Savannah ,58,49,45,23,29.84,23979.15762,,,
Greenville ,47,37,48,26,29.8,25495.09757,,,
Des Moines ,40,26,67,16,30.13,20000,,,
Cave Creek ,80,84,10,28,30.04,26457.51311,,,
Chikaming ,40,34,91,5,29.58,11180.33989,,,
Miami,76,72,53,21,29.86,22912.87847,,,
Topeka ,45,37,55,20,30.219,22360.67977,,,
Seattle ,48,48,79,14,29.89,18708.28693,,,
Irvine ,73,76,32,22,30.07,23452.0788,,,
New York ,42,30,90,4,29.43,10000,,,
Delhi ,34,32,96,1,29.5,5000,,,
Savannah ,51,43,56,21,29.87,22912.87847,,,
Greenville ,41,34,59,23,29.83,23979.15762,,,
Des Moines ,36,23,76,15,30.17,19364.91673,,,
Cave Creek ,67,64,20,27,30.03,25980.76211,,,
Chikaming ,36,23,93,8,29.74,14142.13562,,,
Miami,67,60,60,19,29.94,21794.49472,,,
Topeka ,39,31,70,18,30.23,21213.20344,,,
Seattle ,46,47,86,12,29.9,17320.50808,,,
Irvine ,65,63,47,18,30.06,21213.20344,,,
